% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
123	1	1	1	0	28	2196	0	1	0
123	2	2	1	0	28	2196	0	1	0
124	1	1	1	0	28	2196	0	1	0
124	2	2	1	0	28	2196	0	1	0
223	1	1	1	0	28	2196	0	1	0
223	2	2	1	0	28	2196	0	1	0
224	1	1	1	0	28	2196	0	1	0
224	2	2	1	0	28	2196	0	1	0
323	1	1	1	0	28	2196	0	1	0
323	2	2	1	0	28	2196	0	1	0
324	1	1	1	0	28	2196	0	1	0
324	2	2	1	0	28	2196	0	1	0
423	1	1	1	0	28	2196	0	1	0
423	2	2	1	0	28	2196	0	1	0
424	1	1	1	0	28	2196	0	1	0
424	2	2	1	0	28	2196	0	1	0
523	1	1	1	0	28	2196	0	1	0
523	2	2	1	0	28	2196	0	1	0
524	1	1	1	0	28	2196	0	1	0
524	2	2	1	0	28	2196	0	1	0
623	1	1	1	0	28	2196	0	1	0
623	2	2	1	0	28	2196	0	1	0
624	1	1	1	0	28	2196	0	1	0
624	2	2	1	0	28	2196	0	1	0
723	1	1	1	0	28	2196	0	1	0
723	2	2	1	0	28	2196	0	1	0
724	1	1	1	0	28	2196	0	1	0
724	2	2	1	0	28	2196	0	1	0
823	1	1	1	0	28	2196	0	1	0
823	2	2	1	0	28	2196	0	1	0
824	1	1	1	0	28	2196	0	1	0
824	2	2	1	0	28	2196	0	1	0
923	1	1	1	0	28	2196	0	1	0
923	2	2	1	0	28	2196	0	1	0
924	1	1	1	0	28	2196	0	1	0
924	2	2	1	0	28	2196	0	1	0
1023	1	1	1	0	28	2196	0	1	0
1023	2	2	1	0	28	2196	0	1	0
1024	1	1	1	0	28	2196	0	1	0
1024	2	2	1	0	28	2196	0	1	0
1123	1	1	1	0	28	2196	0	1	0
1123	2	2	1	0	28	2196	0	1	0
1124	1	1	1	0	28	2196	0	1	0
1124	2	2	1	0	28	2196	0	1	0
1223	1	1	1	0	28	2196	0	1	0
1223	2	2	1	0	28	2196	0	1	0
1224	1	1	1	0	28	2196	0	1	0
1224	2	2	1	0	28	2196	0	1	0
1323	1	1	1	0	28	2196	0	1	0
1323	2	2	1	0	28	2196	0	1	0
1324	1	1	1	0	28	2196	0	1	0
1324	2	2	1	0	28	2196	0	1	0
1423	1	1	1	0	28	2196	0	1	0
1423	2	2	1	0	28	2196	0	1	0
1424	1	1	1	0	28	2196	0	1	0
1424	2	2	1	0	28	2196	0	1	0
1523	1	1	1	0	28	2196	0	1	0
1523	2	2	1	0	28	2196	0	1	0
1524	1	1	1	0	28	2196	0	1	0
1524	2	2	1	0	28	2196	0	1	0
1623	1	1	1	0	28	2196	0	1	0
1623	2	2	1	0	28	2196	0	1	0
1624	1	1	1	0	28	2196	0	1	0
1624	2	2	1	0	28	2196	0	1	0
1723	1	1	1	0	28	2196	0	1	0
1723	2	2	1	0	28	2196	0	1	0
1724	1	1	1	0	28	2196	0	1	0
1724	2	2	1	0	28	2196	0	1	0
1823	1	1	1	0	28	2196	0	1	0
1823	2	2	1	0	28	2196	0	1	0
1824	1	1	1	0	28	2196	0	1	0
1824	2	2	1	0	28	2196	0	1	0
1923	1	1	1	0	28	2196	0	1	0
1923	2	2	1	0	28	2196	0	1	0
1924	1	1	1	0	28	2196	0	1	0
1924	2	2	1	0	28	2196	0	1	0
2023	1	1	1	0	28	2196	0	1	0
2023	2	2	1	0	28	2196	0	1	0
2024	1	1	1	0	28	2196	0	1	0
2024	2	2	1	0	28	2196	0	1	0
2123	1	1	1	0	28	2196	0	1	0
2123	2	2	1	0	28	2196	0	1	0
2124	1	1	1	0	28	2196	0	1	0
2124	2	2	1	0	28	2196	0	1	0
2223	1	1	1	0	28	2196	0	1	0
2223	2	2	1	0	28	2196	0	1	0
2224	1	1	1	0	28	2196	0	1	0
2224	2	2	1	0	28	2196	0	1	0
2323	1	1	1	0	28	2196	0	1	0
2323	2	2	1	0	28	2196	0	1	0
2324	1	1	1	0	28	2196	0	1	0
2324	2	2	1	0	28	2196	0	1	0
2423	1	1	1	0	28	2196	0	1	0
2423	2	2	1	0	28	2196	0	1	0
